CLASS,SUBCLASS,ADDRESS,NAME,CURRENT_ADDRESS,NUM_READS,FROM,TO,TYPE,OFFSET
Calibration,Current,0x4000,CC Gain,0x4000,1,0,4,F4,0
Calibration,Current,0x4000,Capacity Gain,0x4000,1,4,8,F4,0
Calibration,Voltage,0x4000,Cell1 Offset,0x4008,1,0,1,I1,0
Calibration,Voltage,0x4000,Cell2 Offset,0x4008,1,1,2,I1,0
Calibration,Voltage,0x4000,Cell3 Offset,0x4008,1,2,3,I1,0
Calibration,Voltage,0x4000,Cell4 Offset,0x4008,1,3,4,I1,0
Calibration,Voltage,0x4000,Cell5 Offset,0x4008,1,4,5,I1,0
Calibration,Voltage,0x4000,Cell6 Offset,0x4008,1,5,6,I1,0
Calibration,Voltage,0x4000,Cell7 Offset,0x4008,1,6,7,I1,0
Calibration,Voltage,0x4000,Cell8 Offset,0x4008,1,7,8,I1,0
Calibration,Voltage,0x4000,Cell9 Offset,0x4008,1,8,9,I1,0
Calibration,Voltage,0x4000,Cell10 Offset,0x4008,1,9,10,I1,0
Calibration,Voltage,0x4000,Cell11 Offset,0x4008,1,10,11,I1,0
Calibration,Voltage,0x4000,Cell12 Offset,0x4008,1,11,12,I1,0
Calibration,Voltage,0x4000,Cell13 Offset,0x4008,1,12,13,I1,0
Calibration,Voltage,0x4000,Cell14 Offset,0x4008,1,13,14,I1,0
Calibration,Voltage,0x4000,Cell15 Offset,0x4008,1,14,15,I1,0
Calibration,Current Offset,0x4000,CC Offset,0x4018,1,0,2,I2,0
Calibration,Current Offset,0x4000,Coulomb Counter Offset Samples,0x4018,1,2,4,U2,0
Calibration,Temperature,0x4000,T1 Temp Offset,0x401e,1,0,1,I1,0
Calibration,Temperature,0x4000,T2 Temp Offset,0x401e,1,1,2,I1,0
Calibration,Temperature,0x4020,T3 Temp Offset,0x401e,1,2,3,I1,0
Calibration,Temperature,0x4020,Gauge Internal Temp Offset,0x401e,1,3,4,I1,0
Calibration,Ext Cell Voltage,0x4020,Ext Cell Divider Gain,0x4022,1,0,2,I2,0
Calibration,VAux Voltage,0x4020,VAux Gain,0x4024,1,0,4,I4,0
Calibration,Cell Temperature Model,0x4540,Coeff a1,0x454f,1,0,2,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff a2,0x454f,1,2,4,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff a3,0x454f,1,4,6,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff a4,0x454f,1,6,8,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff a5,0x454f,1,8,10,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff b1,0x454f,1,10,12,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff b2,0x454f,1,12,14,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff b3,0x454f,1,14,16,I2,0
Calibration,Cell Temperature Model,0x4540,Coeff b4,0x454f,1,16,18,I2,0
Calibration,Cell Temperature Model,0x4560,Rc0,0x454f,1,18,20,I2,0
Calibration,Cell Temperature Model,0x4560,Adc0,0x454f,1,20,22,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff a1,0x4569,1,0,2,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff a2,0x4569,1,2,4,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff a3,0x4569,1,4,6,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff a4,0x4569,1,6,8,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff a5,0x4569,1,8,10,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff b1,0x4569,1,10,12,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff b2,0x4569,1,12,14,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff b3,0x4569,1,14,16,I2,0
Calibration,Fet Temperature Model,0x4560,Coeff b4,0x4569,1,16,18,I2,0
Calibration,Fet Temperature Model,0x4560,Rc0,0x4569,1,18,20,I2,0
Calibration,Fet Temperature Model,0x4560,Adc0,0x4569,1,20,22,I2,0
Calibration,Fet Temperature Model,0x4560,Rpad,0x4569,1,22,24,I2,0
Calibration,Fet Temperature Model,0x4580,Rint,0x4569,1,24,26,I2,0
Calibration,Current Deadband,0x4300,Deadband,0x4318,1,0,1,U1,0
Calibration,Current Deadband,0x4300,Coulomb Counter Deadband,0x4318,1,1,2,U1,0
Settings,Protection,0x44c0,Protection Configuration,0x44c5,1,0,1,H1,0
Settings,Protection,0x44c0,Enabled Protections A,0x44c5,1,1,2,H1,0
Settings,Protection,0x44c0,Enabled Protections B,0x44c5,1,2,3,H1,0
Settings,Protection,0x44c0,Enabled Protections C,0x44c5,1,3,4,H1,0
Settings,Protection,0x44c0,Enabled Removal Recovery A,0x44c5,1,5,6,H1,0
Settings,Protection,0x44c0,Enabled Removal Recovery B,0x44c5,1,6,7,H1,0
Settings,Permanent Failure,0x4500,Enabled PF A,0x451d,1,0,1,H1,0
Settings,Permanent Failure,0x4500,Enabled PF B,0x451d,1,1,2,H1,0
Settings,Configuration,0x4440,FET Options,0x445f,3,0,2,H2,0
Settings,Configuration,0x4460,Sbs Gauging Configuration,0x445f,3,2,3,H1,0
Settings,Configuration,0x4460,Smb Configuration,0x445f,3,3,4,H1,0
Settings,Configuration,0x4460,Power Config,0x445f,3,19,20,H1,0
Settings,Configuration,0x4480,LED Configuration,0x445f,3,45,46,H1,0
Settings,Configuration,0x44a0,Temperature Enable,0x445f,3,74,75,H1,0
Settings,Configuration,0x44a0,Temperature Mode,0x445f,3,75,76,H1,0
Settings,Configuration,0x44a0,DA Configuration,0x445f,3,76,77,H1,0
Settings,Configuration,0x44a0,AFE Cell Map,0x445f,3,77,79,H2,0
Settings,Configuration,0x4580,CEDV Gauging Configuration,0x458b,1,0,2,H2,0
Settings,Configuration,0x45c0,SOC Flag Config,0x45d4,1,0,2,H2,0
Settings,Configuration,0x4600,Balancing Configuration,0x460c,1,0,1,H1,0
Settings,Fuse,0x4440,PF SAFE A,0x4458,1,0,1,H1,0
Settings,Fuse,0x4440,PF SAFE B,0x4458,1,1,2,H1,0
Settings,Fuse,0x4440,PF SAFE C,0x4458,1,2,3,H1,0
Settings,Fuse,0x4440,Fuse Blow Timeout,0x4458,1,6,7,U1,0
Settings,Aux SMB Address,0x4460,Addr Reads,0x4463,1,0,1,U1,0
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR0,0x4463,1,1,2,H1,0
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR1,0x4463,1,2,3,H1,0
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR2,0x4463,1,3,4,H1,0
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR3,0x4463,1,4,5,H1,0
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR4,0x4463,1,5,6,H1,0
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR5,0x4463,1,6,7,H1,0
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR6,0x4463,1,7,8,H1,0
Settings,Aux SMB Address,0x4460,SMBTAR_ADDR7,0x4463,1,8,9,H1,0
Settings,SMB Master Mode,0x4460,Host Address,0x446e,1,0,1,H1,0
Settings,SMB Master Mode,0x4460,Charger Address,0x446e,1,1,2,H1,0
Settings,SMB Master Mode,0x4460,Alarm Timer,0x446e,1,2,3,U1,0
Settings,SMB Master Mode,0x4460,Charger Request Timer,0x446e,1,3,4,U1,0
Settings,Manufacturing,0x42c0,Mfg Status init,0x42c8,1,0,2,H2,0
Protections,CUV,0x44c0,Threshold,0x44cc,1,0,2,I2,0
Protections,CUV,0x44c0,Delay,0x44cc,1,2,3,U1,0
Protections,CUV,0x44c0,Recovery,0x44cc,1,3,5,I2,0
Protections,COV,0x44c0,Threshold,0x44d1,1,0,2,I2,0
Protections,COV,0x44c0,Delay,0x44d1,1,2,3,U1,0
Protections,COV,0x44c0,Recovery,0x44d1,1,3,5,I2,0
Protections,OCC,0x44c0,Threshold,0x44d6,1,0,2,I2,0
Protections,OCC,0x44c0,Delay,0x44d6,1,2,3,U1,0
Protections,OCC,0x44c0,Recovery Threshold,0x44d6,1,3,5,I2,0
Protections,OCC,0x44c0,Recovery Delay,0x44d6,1,5,6,U1,0
Protections,OCD,0x44c0,Threshold,0x44dc,1,0,2,I2,0
Protections,OCD,0x44c0,Delay,0x44dc,1,2,3,U1,0
Protections,OCD,0x44c0,Recovery Threshold,0x44dc,1,3,5,I2,0
Protections,OCD,0x44e0,Recovery Delay,0x44dc,1,5,6,U1,0
Protections,OCDL,0x44e0,Latch Limit,0x44e2,1,0,1,U1,0
Protections,OCDL,0x44e0,Counter Dec Delay,0x44e2,1,1,2,U1,0
Protections,OCDL,0x44e0,Reset,0x44e2,1,2,3,U1,0
Protections,AOLD,0x44a0,Threshold and Delay,0x44b1,1,0,1,H1,0
Protections,AOLD,0x44e0,Latch Limit,0x44e5,1,0,1,U1,0
Protections,AOLD,0x44e0,Counter Dec Delay,0x44e5,1,1,2,U1,0
Protections,AOLD,0x44e0,Recovery,0x44e5,1,2,3,U1,0
Protections,AOLD,0x44e0,Reset,0x44e5,1,3,4,U1,0
Protections,ASCD,0x44a0,Threshold and Delay,0x44b0,1,0,1,H1,0
Protections,ASCD,0x44e0,Latch Limit,0x44e9,1,0,1,U1,0
Protections,ASCD,0x44e0,Counter Dec Delay,0x44e9,1,1,2,U1,0
Protections,ASCD,0x44e0,Recovery,0x44e9,1,2,3,U1,0
Protections,ASCD,0x44e0,Reset,0x44e9,1,3,4,U1,0
Protections,OTC,0x44e0,Threshold,0x44ed,1,0,2,I2,0
Protections,OTC,0x44e0,Delay,0x44ed,1,2,3,U1,0
Protections,OTC,0x44e0,Recovery,0x44ed,1,3,5,I2,0
Protections,OTD,0x44e0,Threshold,0x44f2,1,0,2,I2,0
Protections,OTD,0x44e0,Delay,0x44f2,1,2,3,U1,0
Protections,OTD,0x44e0,Recovery,0x44f2,1,3,5,I2,0
Protections,OTF,0x44e0,Threshold,0x44f7,1,0,2,I2,0
Protections,OTF,0x44e0,Delay,0x44f7,1,2,3,U1,0
Protections,OTF,0x44e0,Recovery,0x44f7,1,3,5,I2,0
Protections,UTC,0x44e0,Threshold,0x44fc,1,0,2,I2,0
Protections,UTC,0x44e0,Delay,0x44fc,1,2,3,U1,0
Protections,UTC,0x44e0,Recovery,0x44fc,1,3,5,I2,0
Protections,UTD,0x4500,Threshold,0x4501,1,0,2,I2,0
Protections,UTD,0x4500,Delay,0x4501,1,2,3,U1,0
Protections,UTD,0x4500,Recovery,0x4501,1,3,5,I2,0
Protections,AFE External Override,0x4500,Delay,0x4506,1,0,1,U1,0
Protections,AFE External Override,0x4500,Recovery,0x4506,1,1,2,U1,0
Protections,PTO,0x4500,Charge Threshold,0x4508,1,0,2,I2,0
Protections,PTO,0x4500,Suspend Threshold,0x4508,1,2,4,I2,0
Protections,PTO,0x4500,Delay,0x4508,1,4,6,U2,0
Protections,PTO,0x4500,Reset,0x4508,1,6,8,I2,0
Protections,CTO,0x4500,Charge Threshold,0x4510,1,0,2,I2,0
Protections,CTO,0x4500,Suspend Threshold,0x4510,1,2,4,I2,0
Protections,CTO,0x4500,Delay,0x4510,1,4,6,U2,0
Protections,CTO,0x4500,Reset,0x4510,1,6,8,I2,0
Protections,OC,0x4500,Threshold,0x4518,1,0,2,I2,0
Protections,OC,0x4500,Recovery,0x4518,1,2,4,I2,0
Protections,OC,0x4500,RSOC Recovery,0x4518,1,4,5,U1,0
Permanent Fail,SOCC,0x4520,Threshold,0x4521,1,0,2,I2,0
Permanent Fail,SOCC,0x4520,Delay,0x4521,1,2,3,U1,0
Permanent Fail,SOCD,0x4520,Threshold,0x4524,1,0,2,I2,0
Permanent Fail,SOCD,0x4520,Delay,0x4524,1,2,3,U1,0
Permanent Fail,SOT,0x4520,Threshold,0x4527,1,0,2,I2,0
Permanent Fail,SOT,0x4520,Delay,0x4527,1,2,3,U1,0
Permanent Fail,SOTF,0x4520,Threshold,0x452a,1,0,2,I2,0
Permanent Fail,SOTF,0x4520,Delay,0x452a,1,2,3,U1,0
Permanent Fail,Open Thermistor,0x4520,Threshold,0x452d,1,0,2,I2,0
Permanent Fail,Open Thermistor,0x4520,Delay,0x452d,1,2,3,U1,0
Permanent Fail,VIMR,0x4520,Check Voltage,0x4530,1,0,2,I2,0
Permanent Fail,VIMR,0x4520,Check Current,0x4530,1,2,4,I2,0
Permanent Fail,VIMR,0x4520,Delta Threshold,0x4530,1,4,6,I2,0
Permanent Fail,VIMR,0x4520,Delta Delay,0x4530,1,6,7,U1,0
Permanent Fail,VIMR,0x4520,Duration,0x4530,1,7,9,U2,0
Permanent Fail,CFET,0x4520,OFF Threshold,0x4539,1,0,2,I2,0
Permanent Fail,CFET,0x4520,OFF Delay,0x4539,1,2,3,U1,0
Permanent Fail,DFET,0x4520,OFF Threshold,0x453c,1,0,2,I2,0
Permanent Fail,DFET,0x4520,OFF Delay,0x453c,1,2,3,U1,0
Permanent Fail,AFER,0x4520,Threshold,0x453f,1,0,1,U1,0
Permanent Fail,AFER,0x4540,Delay Period,0x453f,1,1,2,U1,0
Permanent Fail,AFER,0x4540,Compare Period,0x453f,1,2,3,U1,0
Permanent Fail,AFEC,0x4540,Threshold,0x4542,1,0,1,U1,0
Permanent Fail,AFEC,0x4540,Delay Period,0x4542,1,1,2,U1,0
Permanent Fail,AFE XREADY,0x4540,Threshold,0x4544,1,0,1,U1,0
Permanent Fail,AFE XREADY,0x4540,Delay Period,0x4544,1,1,2,U1,0
Permanent Fail,AFE External Override,0x4540,Delay,0x4546,1,0,1,U1,0
Permanent Fail,AFE SOV/AFE SUV,0x44a0,SOV and SUV Delay,0x44b2,1,0,1,H1,0
Permanent Fail,AFE SOV,0x44a0,Threshold,0x44b7,1,0,2,I2,0
Permanent Fail,AFE SUV,0x44a0,Threshold,0x44b9,1,0,2,I2,0
Charge Algorithm,Temperature Ranges,0x45c0,Charge Inhibit/Suspend Low Temp,0x45df,1,0,1,I1,0
Charge Algorithm,Temperature Ranges,0x45e0,Precharge Temp,0x45df,1,1,2,I1,0
Charge Algorithm,Temperature Ranges,0x45e0,Charge Inhibit High Temp,0x45df,1,2,3,I1,0
Charge Algorithm,Temperature Ranges,0x45e0,Charge Suspend High Temp,0x45df,1,3,4,I1,0
Charge Algorithm,Temperature Ranges,0x45e0,Hysteresis Temp,0x45df,1,4,5,I1,0
Charge Algorithm,Fast Charging,0x45e0,Voltage,0x45e4,1,0,2,I2,0
Charge Algorithm,Fast Charging,0x45e0,Current,0x45e4,1,2,4,I2,0
Charge Algorithm,Pre-Charging,0x45e0,Current,0x45e8,1,0,2,I2,0
Charge Algorithm,Pre-Charging,0x45e0,Start Voltage,0x45e8,1,2,4,I2,0
Charge Algorithm,Pre-Charging,0x45e0,Recovery Voltage,0x45e8,1,4,6,I2,0
Charge Algorithm,Termination Config,0x45e0,Charge Term Taper Current,0x45ee,1,0,2,I2,0
Charge Algorithm,Termination Config,0x45e0,Charge Term Voltage,0x45ee,1,4,6,I2,0
Charge Algorithm,Cell Balancing Config,0x4600,Cell Balance Threshold,0x460d,1,0,2,I2,0
Charge Algorithm,Cell Balancing Config,0x4600,Cell Balance Window,0x460d,1,2,4,I2,0
Charge Algorithm,Cell Balancing Config,0x4600,Cell Balance Min,0x460d,1,4,5,U1,0
Charge Algorithm,Cell Balancing Config,0x4600,Cell Balance Interval,0x460d,1,5,6,U1,0
Fuel Gauging,Current Thresholds,0x44a0,Dsg Current Threshold,0x44bd,1,0,2,I2,0
Fuel Gauging,Current Thresholds,0x44a0,Chg Current Threshold,0x44bd,1,2,4,I2,0
Fuel Gauging,Current Thresholds,0x44c0,Quit Current,0x44bd,1,4,6,I2,0
Fuel Gauging,Current Thresholds,0x44c0,Dsg Relax Time,0x44bd,1,6,7,U1,0
Fuel Gauging,Current Thresholds,0x44c0,Chg Relax Time,0x44bd,1,7,8,U1,0
Fuel Gauging,Design,0x45c0,Design Capacity mAh,0x45cc,1,0,2,I2,0
Fuel Gauging,Design,0x45c0,Design Capacity cWh,0x45cc,1,2,4,I2,0
Fuel Gauging,Design,0x45c0,Design Voltage,0x45cc,1,4,6,I2,0
Fuel Gauging,Cycle,0x45c0,Cycle Count Percentage,0x45d2,1,0,1,U1,0
Fuel Gauging,FD,0x45c0,Set % RSOC Threshold,0x45d6,1,0,1,U1,0
Fuel Gauging,FD,0x45c0,Clear % RSOC Threshold,0x45d6,1,1,2,U1,0
Fuel Gauging,FC,0x45c0,Set % RSOC Threshold,0x45d8,1,0,1,U1,0
Fuel Gauging,FC,0x45c0,Clear % RSOC Threshold,0x45d8,1,1,2,U1,0
Fuel Gauging,TD,0x45c0,Set % RSOC Threshold,0x45da,1,0,1,U1,0
Fuel Gauging,TD,0x45c0,Clear % RSOC Threshold,0x45da,1,1,2,U1,0
Fuel Gauging,TC,0x45c0,Set % RSOC Threshold,0x45dc,1,0,1,U1,0
Fuel Gauging,TC,0x45c0,Clear % RSOC Threshold,0x45dc,1,1,2,U1,0
Fuel Gauging,State,0x42c0,Learned Full Charge Capacity,0x42c2,1,0,2,I2,0
Fuel Gauging,State,0x42c0,Dod at EDV2,0x42c2,1,2,4,I2,0
Fuel Gauging,State,0x42c0,Cycle Count,0x42c2,1,4,6,U2,0
Fuel Gauging,CEDV cfg,0x4580,EMF,0x458d,2,0,2,U2,0
Fuel Gauging,CEDV cfg,0x4580,C0,0x458d,2,2,4,U2,0
Fuel Gauging,CEDV cfg,0x4580,R0,0x458d,2,4,6,U2,0
Fuel Gauging,CEDV cfg,0x4580,T0,0x458d,2,6,8,U2,0
Fuel Gauging,CEDV cfg,0x4580,R1,0x458d,2,8,10,U2,0
Fuel Gauging,CEDV cfg,0x4580,TC,0x458d,2,10,11,U1,0
Fuel Gauging,CEDV cfg,0x4580,C1,0x458d,2,11,12,U1,0
Fuel Gauging,CEDV cfg,0x4580,Age Factor,0x458d,2,12,13,U1,0
Fuel Gauging,CEDV cfg,0x4580,Fixed EDV 0,0x458d,2,13,15,I2,0
Fuel Gauging,CEDV cfg,0x4580,EDV 0 Hold Time,0x458d,2,15,16,U1,0
Fuel Gauging,CEDV cfg,0x4580,Fixed EDV 1,0x458d,2,16,18,I2,0
Fuel Gauging,CEDV cfg,0x4580,EDV 1 Hold Time,0x458d,2,18,19,U1,0
Fuel Gauging,CEDV cfg,0x45a0,Fixed EDV 2,0x458d,2,19,21,I2,0
Fuel Gauging,CEDV cfg,0x45a0,EDV 2 Hold Time,0x458d,2,21,22,U1,0
Fuel Gauging,CEDV cfg,0x45a0,Battery Low %,0x458d,2,26,28,U2,0
Fuel Gauging,CEDV cfg,0x45a0,Min Delta V Filter,0x458d,2,30,32,I2,0
Fuel Gauging,CEDV cfg,0x45a0,FCC Learn Up,0x458d,2,32,34,I2,0
Fuel Gauging,CEDV cfg,0x45a0,FCC Learn Down,0x458d,2,34,36,I2,0
Fuel Gauging,CEDV cfg,0x45a0,Learning Low Temp,0x458d,2,39,41,I2,0
Fuel Gauging,CEDV cfg,0x45a0,Requested Learning cycle count,0x458d,2,48,49,U1,0
Fuel Gauging,CEDV cfg,0x45a0,OverLoad Current,0x458d,2,49,51,I2,0
Fuel Gauging,CEDV cfg,0x45c0,Self Discharge Rate,0x458d,2,53,54,U1,0
Fuel Gauging,CEDV cfg,0x45c0,Electronics Load,0x458d,2,54,56,I2,0
Fuel Gauging,CEDV cfg,0x45c0,Near Full,0x458d,2,56,58,I2,0
Fuel Gauging,CEDV cfg,0x45c0,Reserve Capacity,0x458d,2,58,60,I2,0
Fuel Gauging,CEDV cfg,0x45c0,RemCap Init Percent,0x458d,2,62,63,U1,0
Power,Power,0x4460,Valid Update Voltage,0x4473,1,0,2,I2,0
Power,Shutdown,0x4460,Shutdown Voltage,0x4475,1,0,2,I2,0
Power,Shutdown,0x4460,Shutdown Time,0x4475,1,2,3,U1,0
Power,Shutdown,0x4460,PF Shutdown Voltage,0x4475,1,3,5,I2,0
Power,Shutdown,0x4460,PF Shutdown Time,0x4475,1,5,6,U1,0
Power,Shutdown,0x4460,Charger Present Threshold,0x4475,1,6,8,I2,0
Power,Sleep,0x4460,Sleep Current,0x447d,1,0,2,I2,0
Power,Sleep,0x4460,Bus Timeout,0x447d,1,2,3,U1,0
Power,Sleep,0x4480,Voltage Time,0x447d,1,7,8,U1,0
Power,Sleep,0x4480,Current Time,0x447d,1,8,9,U1,0
